Wavelength (nm),Intensity (a.u.)
485,1.708073144
485.5,1.725326408
486,1.742753947
486.5,1.760357522
487,1.778138911
487.5,1.796099911
488,1.814242334
488.5,1.832568014
489,1.851078802
489.5,1.869776568
490,1.8886632
490.5,1.907740606
491,1.927010713
491.5,1.946475468
492,1.966136836
492.5,1.985996804
493,2.006057378
493.5,2.026320584
494,2.046788468
494.5,2.067463099
495,2.088346565
495.5,2.109440975
496,2.130748459
496.5,2.152271171
497,2.174011284
497.5,2.195970994
498,2.218152519
498.5,2.2405581
499,2.26319
499.5,3.614733
500,4.951525
500.5,6.158728
501,7.288201
501.5,8.400519
502,9.412688
502.5,10.372263
503,11.345536
503.5,12.458217
504,13.713097
504.5,15.046271
505,16.307963
505.5,17.575682
506,18.771576
506.5,19.882303
507,21.074859
507.5,22.274391
508,23.481725
508.5,24.739375
509,25.966072
509.5,27.086309
510,28.157156
510.5,29.04499
511,29.640642
511.5,30.239079
512,30.913087
512.5,31.62532
513,32.406616
513.5,33.303918
514,34.268893
514.5,35.346511
515,36.436103
515.5,37.421128
516,38.326242
516.5,39.142032
517,39.858458
517.5,40.383833
518,40.77644
518.5,41.039756
519,41.175492
519.5,41.226777
520,41.317913
520.5,41.446461
521,41.605896
521.5,41.836387
522,42.118458
522.5,42.46448
523,42.832495
523.5,43.170174
524,43.364821
524.5,43.484946
525,43.549127
525.5,43.531147
526,43.46225
526.5,43.415569
527,43.413114
527.5,43.386807
528,43.393139
528.5,43.374854
529,43.279741
529.5,43.186017
530,42.991932
530.5,42.62487
531,42.21281
531.5,41.832981
532,41.328786
532.5,40.818603
533,40.31073
533.5,39.902399
534,39.692609
534.5,39.629059
535,39.564156
535.5,39.573008
536,39.697196
536.5,39.725412
537,39.621934
537.5,39.300967
538,38.911259
538.5,38.414816
539,37.9251
539.5,37.347114
540,36.704851
540.5,36.165725
541,35.642807
541.5,35.119063
542,34.48098
542.5,33.979279
543,33.435927
543.5,32.961305
544,32.481064
544.5,31.971446
545,31.542019
545.5,31.18848
546,30.833471
546.5,30.381499
547,30.002359
547.5,29.583808
548,29.157239
548.5,28.671848
549,28.130653
549.5,27.594941
550,27.139104
550.5,26.736079
551,26.339489
551.5,25.979664
552,25.712842
552.5,25.45927
553,25.134413
553.5,24.746646
554,24.338553
554.5,23.945818
555,23.527605
555.5,23.094214
556,22.587312
556.5,22.166354
557,21.736594
557.5,21.276976
558,20.749383
558.5,20.254437
559,19.781251
559.5,19.290476
560,18.867953
560.5,18.43221
561,18.123471
561.5,17.858066
562,17.615567
562.5,17.338596
563,17.068491
563.5,16.807174
564,16.433701
564.5,16.038419
565,15.622592
565.5,15.285284
566,14.987485
566.5,14.704692
567,14.457237
567.5,14.239698
568,14.049172
568.5,13.744604
569,13.349515
569.5,12.902842
570,12.516613
570.5,12.176544
571,11.857851
571.5,11.569838
572,11.332033
572.5,11.172726
573,11.039243
573.5,10.874881
574,10.671895
574.5,10.522867
575,10.38874
575.5,10.288411
576,10.079454
576.5,9.818669
577,9.485101
577.5,9.091395
578,8.655544
578.5,8.203085
579,7.797265
579.5,7.446572
580,7.237344
580.5,7.103129
581,7.020325
581.5,6.952392
582,6.82777
582.5,6.674611
583,6.499214
583.5,6.296493
584,6.091354
584.5,5.924159
585,5.806953
585.5,5.693543
586,5.638406
586.5,5.516728
587,5.341149
587.5,5.094157
588,4.775958
588.5,4.435057
589,4.106978
589.5,3.825635
590,3.563778
590.5,3.41317
591,3.311232
591.5,3.259375
592,3.175924
592.5,3.057658
593,2.913487
593.5,2.807501
594,2.685851
594.5,2.565755
595,2.444133
595.5,2.317226
596,2.210369
596.5,2.052191
597,1.84349
597.5,1.62855
598,1.497384
598.5,1.428287
599,1.522561
599.5,1.724101
600,2.043623
600.5,2.463